T_in,L_bed,feasible,TAC_hi,eff_TAC,reason
938.0,1.825,False,nan,1383.83,生産量不足 1165.59 < 下限 target × 1.000 = 1188.21 kmol/h (違反 1.904pp)
938.0,1.95,False,nan,1422.72,生産量不足 1160.76 < 下限 target × 1.000 = 1188.21 kmol/h (違反 2.311pp)
939.0,0.7,False,nan,5000.00,solver-level: PSA/Mem CAPEX ペナルティ発火
939.0,0.825,False,nan,1790.63,生産量不足 1131.13 < 下限 target × 1.000 = 1188.21 kmol/h (違反 4.804pp)
939.0,0.95,True,1218.47,1218.47,
939.0,1.075,True,1102.45,1102.45,
939.0,1.2,True,1076.62,1076.62,
939.0,1.325,True,1161.13,1161.13,
939.0,1.45,False,nan,1260.55,生産量不足 1181.42 < 下限 target × 1.000 = 1188.21 kmol/h (違反 0.572pp)
939.0,1.575,False,nan,1304.47,生産量不足 1175.66 < 下限 target × 1.000 = 1188.21 kmol/h (違反 1.057pp)
939.0,1.7,False,nan,1347.27,生産量不足 1170.19 < 下限 target × 1.000 = 1188.21 kmol/h (違反 1.517pp)
939.0,1.825,False,nan,1410.22,生産量不足 1162.27 < 下限 target × 1.000 = 1188.21 kmol/h (違反 2.183pp)
939.0,1.95,False,nan,1474.28,生産量不足 1154.29 < 下限 target × 1.000 = 1188.21 kmol/h (違反 2.855pp)
940.0,0.7,False,nan,5000.00,solver-level: PSA/Mem CAPEX ペナルティ発火
940.0,0.825,False,nan,1804.64,生産量不足 1129.35 < 下限 target × 1.000 = 1188.21 kmol/h (違反 4.954pp)
940.0,0.95,True,1237.22,1237.22,
940.0,1.075,True,1100.36,1100.36,
940.0,1.2,True,1174.04,1174.04,
940.0,1.325,False,nan,1262.04,生産量不足 1181.74 < 下限 target × 1.000 = 1188.21 kmol/h (違反 0.544pp)
940.0,1.45,False,nan,1302.69,生産量不足 1176.12 < 下限 target × 1.000 = 1188.21 kmol/h (違反 1.018pp)
940.0,1.575,False,nan,1340.34,生産量不足 1171.15 < 下限 target × 1.000 = 1188.21 kmol/h (違反 1.436pp)
940.0,1.7,False,nan,1414.70,生産量不足 1161.71 < 下限 target × 1.000 = 1188.21 kmol/h (違反 2.230pp)
940.0,1.825,False,nan,1464.44,生産量不足 1155.47 < 下限 target × 1.000 = 1188.21 kmol/h (違反 2.755pp)
940.0,1.95,False,nan,5107.82,solver-level: PSA/Mem CAPEX ペナルティ発火
